,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
NLOK,0.00011931959966099312,0.02601836813971365,0.0002868656229648,0.50199203187251,-40.20967031572032,0,1.0515814799719998,-0.0003066832112689356,1.0453407835325622e-05,-0.029118725106077627,-0.05659524689131276,0.0004198621585523097,5.673464230327706,-0.011884537772890932
NLSN,-0.000930934944384156,0.021574082846462624,-0.0004270969820513,0.48406374501992033,-49.44170303308496,6,0.9509011890216207,-0.001316151484571425,-0.04866869988885458,-0.02791791813186196,-0.05095770904448161,0.00039106163673231434,-0.4999716182895437,-0.0680940429550517
NOC,0.00035918346814970537,0.015544823823848494,0.0009745866739101999,0.5298804780876494,-37.163570676169655,336,0.7593377088161585,5.157059690611099e-05,0.015447962088426869,-0.026589745270340293,-0.038892493988840204,0.0003362631440035755,0.672752420815128,-0.0032845765195207597
NOW,0.0017900186067269282,0.0233234956023047,0.00247377356657965,0.5597609561752988,-27.223711989811306,94,1.526915184760242,0.0011714548785251209,0.07164324834370853,-0.037666839376140904,-0.050852381744185236,0.0005558357300160644,0.3038993254407623,0.07283895040070995
NRG,0.0007518934774204882,0.01529686794573352,0.0012863560229071,0.5358565737051793,-23.218814717149762,77,0.7276576017494761,0.0004571144330538441,0.04137094342566888,-0.026183142656115328,-0.0335849528005162,0.00032720075844408747,0.3112065418521392,0.024933080738327743
NTAP,0.0004803472274022818,0.022188421946310023,0.00232250746116975,0.5537848605577689,-49.146951756574175,30,1.4213510580729265,-9.545175497749304e-05,0.016283249400471562,-0.03397504232158714,-0.055293877493508045,0.0005256381421329978,1.0249378790630104,0.00415056377208187
NTRS,0.00024324014770068245,0.014957792304773369,0.00030186646290060004,0.5079681274900398,-30.789210752340924,92,1.1548958684651427,-0.00022461602480495363,0.008302864896274216,-0.024389780770138796,-0.035523468722338206,0.00044941618816454764,0.9198134138121545,-0.015599278232904157
NUE,-0.000196449178909833,0.016517964013906188,-0.0001725800220269,0.4860557768924303,-33.58506638975521,1,1.166422147135676,-0.0006689747253125251,-0.019100223108116758,-0.02817255260079246,-0.036814955751514715,0.00045271338602939735,-1.3888738893122603,-0.04837364210758286
NVDA,0.0007424654476731572,0.02843073338148325,0.0018788086722737,0.5258964143426295,-56.08238586387234,49,2.0451804888603715,-8.605108072439751e-05,0.021927602790280682,-0.04390637711684678,-0.07057541543865044,0.0007040902797237009,1.0886790801405926,0.01460350236446968
NVR,0.000321542560169043,0.018417379742082133,0.0013025678729425999,0.5298804780876494,-43.20594911317528,410,0.6262728710694347,6.783515987150268e-05,0.01099477471590274,-0.030107919621807654,-0.04195771976444994,0.00029819872517022666,1.0549143988457748,-0.0046980761250788195
